监测时间,WS0202,WS0203,WS0204,WS0205,WS0206,WS0207,WS0208
2018/4/3,1.6,9.1,2.6,7.1,8.2,1.6,2.8
2018/4/4,1.8,9.1,2.1,7.6,7.7,1.6,2.4
2018/4/5,1.8,8.9,1.5,7.8,7.6,1.6,2.2
2018/4/6,1.9,8.7,1.4,7.7,8.1,1.4,2.3
2018/4/7,2,8.1,1.3,6.8,8.5,1.3,2.9
2018/4/8,2,7.6,1.6,6.2,8.6,1.3,3.1
2018/4/9,1.7,7.1,2.2,6.3,8.9,1.2,3.6
2018/4/10,1.9,6.7,2,6.5,8.9,1.9,3.2
2018/4/11,2,6.4,1.4,6.6,8.6,1.7,3.5
2018/4/12,2.2,6.4,1.3,6.6,8.3,1.2,3.5
2018/4/13,2,5.9,1.5,6.7,8.2,1,3.9
2018/4/14,1.4,5.6,2.2,6.9,8.4,1.4,4.3
2018/4/15,1.6,6.0,2.1,6.7,8.2,1.4,4.2
2018/4/16,2,6.1,1.9,6.4,8.1,1.5,3.9
2018/4/17,2.3,5.9,1.9,6,8.5,1.6,3.6
2018/4/18,2.1,6.2,1.8,5.8,8.5,2,3.7
2018/4/19,2.2,6.2,1.7,6,8.2,2,3.8
2018/4/20,1.9,6.4,1.8,6.3,8.1,1.9,4.3
2018/4/21,1.7,6.0,2.3,6.5,8,1.4,4.8
2018/4/22,1.6,5.8,2.2,6.8,7.7,1.2,5
2018/4/23,1.4,6.1,2.4,6.8,8,1.2,5.1
2018/4/24,1.3,6.3,2.3,7.4,8,0.7,5
2018/4/25,1.4,6.3,2.2,7.1,8.3,0.9,4.5
2018/4/26,2.1,6.0,2.4,6.6,8.8,0.8,5
2018/4/27,2.3,6.3,2.6,7.5,9.4,1.1,5.2
2018/4/28,2,6.3,2.4,8,9.1,0.8,5.5
2018/4/29,1.6,6.4,2.4,8.3,8.5,0.9,5
2018/4/30,1.9,6.7,1.9,8.3,8.4,1.1,4.7
2018/5/1,1.7,6.1,2,8.7,8.4,1.3,4.7
2018/5/2,1.7,5.7,2.1,8.3,8.4,1.5,5
2018/5/3,1.6,5.3,2.2,7.7,8.2,1.8,5.4
2018/5/4,1.7,6.5,2.6,7.9,8.6,1.7,4.8
2018/5/5,2.2,6.6,2.5,7.9,8.4,1.4,5.4
2018/5/6,2,6.8,2.3,8.1,9,0.7,6
2018/5/7,1.6,7.4,2.5,8.6,9.8,0.6,6.4
2018/5/8,2,8.4,2.4,9.5,9.1,0.9,5.5
2018/5/9,2.4,8.4,2.2,9.6,9.1,1.8,5.5
2018/5/10,2.1,8.4,2.4,9.1,8.6,1.9,5.3
2018/5/11,1.6,7.9,1.9,9.7,8.8,0.9,5.7
