Datetime,yandaoWD,chedaoWD,W
2014/1/23,-12.167908,-14.720002,-4.82
2014/1/24,-11.835634,-13.490174,-4.82
2014/1/25,-11.126374,-11.978516,-4.9
2014/1/26,-11.21216,-12.795014,-4.9
2014/1/27,-11.30542,-13.24649,-5.09
2014/1/28,-11.178864,-12.767822,-5.2
2014/1/29,-11.25409,-13.261994,-5.27
2014/1/30,-11.550722,-13.948456,-5.33
2014/1/31,-11.348634,-13.048278,-5.35
2014/2/1,-10.50647,-10.735718,-5.35
2014/2/2,-10.418214,-11.142792,-5.38
2014/2/3,-10.184326,-10.047914,-5.37
2014/2/4,-10.816498,-12.590484,-5.49
2014/2/5,-11.345216,-13.94571,-5.58
2014/2/6,-12.16629,-15.929902,-5.61
2014/2/7,-12.600464,-16.176818,-5.6
2014/2/8,-13.046356,-17.43332,-5.58
2014/2/9,-13.349732,-17.320526,-5.55
2014/2/10,-13.695068,-18.2023,-5.53
2014/2/11,-14.131988,-19.185212,-5.48
2014/2/12,-14.036012,-18.241394,-5.43
2014/2/13,-14.102998,-18.377472,-5.35
2014/2/14,-14.222688,-18.523712,-5.28
2014/2/15,-14.143768,-17.720184,-5.2
2014/2/16,-13.795838,-16.900452,-5.14
2014/2/17,-13.736328,-16.90857,-5.13
2014/2/18,-13.90796,-17.582336,-5.14
2014/2/19,-14.397034,-18.810882,-5.17
2014/2/20,-14.336304,-18.146606,-5.21
2014/2/21,-13.93747,-16.608154,-5.22
2014/2/22,-13.402038,-15.11554,-5.19
2014/2/23,-12.777772,-13.710052,-5.15
2014/2/24,-12.540498,-13.606446,-5.07
2014/2/25,-12.71289,-14.383118,-4.94
2014/2/26,-12.734924,-14.388092,-4.87
2014/2/27,-12.437562,-13.633178,-4.66
2014/2/28,-12.544586,-14.18863,-4.46
2014/3/1,-12.903382,-15.115386,-4.24
2014/3/2,-13.1727,-15.917756,-4.01
2014/3/3,-13.179626,-15.746826,-3.82
2014/3/4,-12.99057,-14.971222,-3.79
2014/3/5,-12.53717,-13.890076,-3.43
2014/3/6,-12.211762,-12.880036,-3.43
2014/3/7,-12.626618,-14.676972,-3.43
2014/3/8,-12.7464,-14.837676,-3.53
2014/3/9,-12.491486,-14.052002,-3.61
2014/3/10,-12.328156,-13.545624,-3.6
2014/3/11,-11.938142,-12.826934,-3.54
2014/3/12,-11.781038,-12.490296,-3.5
2014/3/13,-11.90149,-13.12796,-3.56
2014/3/14,-11.936036,-13.394958,-3.54
2014/3/15,-11.573426,-12.394532,-3.5
2014/3/16,-11.082672,-11.069458,-3.49
2014/3/17,-10.717714,-10.541688,-3.53
2014/3/18,-10.084748,-9.097534,-3.63
2014/3/19,-9.506898,-7.896424,-3.63
2014/3/20,-10.17627,-9.19803,-3.89
2014/3/21,-10.544098,-11.193298,-3.96
2014/3/22,-10.531128,-11.318604,-4.05
2014/3/23,-10.251618,-10.49286,-4.15
2014/3/24,-10.234558,-10.37909,-4.23
2014/3/25,-10.185456,-10.334686,-4.28
2014/3/26,-9.75,-9.442902,-4.31
2014/3/27,-9.306428,-8.279816,-4.31
2014/3/28,-8.61841,-6.94693,-4.31
