Datetime,Strain1,Strain2,Strain3,Strain4
2013-09-11,,,0.134621942,
2013-09-12,-2.595769891,,0.322315847,
2013-09-13,,-1.259638988,,
2013-09-14,,,2.688992887,
2013-09-15,-3.994077626,-0.188754121,,
2013-09-16,,,8.14993028,
2013-09-17,,,,
2013-09-18,-2.15266838,,3.178587444,
2013-09-19,-0.539806027,,,-2.573063158
2013-09-20,-0.87042022,,-4.342512438,
2013-09-21,,,,
2013-09-22,,3.220847374,,
2013-09-23,,,,
2013-09-24,2.727562103,4.516955147,7.534653603,-0.752373985
2013-09-25,-0.777710215,,,
2013-09-26,-6.735702117,,,
2013-09-27,,,,
2013-09-28,,,,
2013-09-29,,,,
2013-09-30,-26.87870891,,,
2013-10-01,,,,
2013-10-02,-28.44693336,,,
2013-10-03,-28.05835175,,,
2013-10-04,,-18.0493292,-48.29831992,-28.87767628
2013-10-05,,,,
2013-10-06,,,,
2013-10-07,,,-51.10473907,
2013-10-08,-25.14409904,-15.42071752,,-26.11631045
2013-10-09,-25.56903979,,,
2013-10-10,-24.72208283,,,
2013-10-11,,-13.52108965,,-24.73243357
2013-10-12,,-11.82551798,-37.01395716,-23.2293858
2013-10-13,,-10.68993721,,-23.26969302
2013-10-14,,,-38.94935628,-22.89019938
2013-10-15,,,,-19.42992617
2013-10-16,,-7.816525135,,-16.90739183
2013-10-17,-17.57253969,,,
2013-10-18,,-11.00902206,-51.38833966,-19.94728434
2013-10-19,,-12.24908145,-54.373412,
2013-10-20,,,-55.4738011,-23.08202563
2013-10-21,,-12.15504444,,-23.06135106
2013-10-22,,-12.63026904,-56.28556096,
2013-10-23,,-13.00021866,,
2013-10-24,,-12.73283597,,-25.3483382
2013-10-25,-25.33455849,,,
2013-10-26,,-14.36991173,-62.96753854,
2013-10-27,,,,
2013-10-28,-31.28369958,-17.38922119,,-28.9517036
2013-10-29,,,-67.63324853,-30.14857366
2013-10-30,,-17.29742968,,-29.41018514
2013-10-31,,,,-26.56908674
2013-11-01,,,,
2013-11-02,,,,-26.61551162
2013-11-03,,,,
2013-11-04,,,,
2013-11-05,,,-63.81057496,
2013-11-06,,-23.47588427,,
2013-11-07,,,-66.51524965,-35.53220324
2013-11-08,,,,
2013-11-09,,-23.68253113,,
2013-11-10,,-22.92011809,,
2013-11-11,,,-61.39102982,
2013-11-12,,-24.91656423,,-27.12507912
2013-11-13,-38.22614621,,,
