Datetime,Strain1,Strain2,Strain3,Strain4
2014-01-29,,-78.37935355,,-87.20622555
2014-01-30,-102.7220833,-77.93910413,-129.7170615,
2014-01-31,-104.7375168,-78.4346117,,
2014-02-01,,,,-87.85598399
2014-02-02,,,-117.4623737,
2014-02-03,-99.20205091,-73.96299807,,-82.66713207
2014-02-04,,,,
2014-02-05,-93.88000264,,,
2014-02-06,-92.05937246,-76.79034768,-116.3266692,
2014-02-07,,-79.08603289,-118.8698478,-77.96269094
2014-02-08,-100.7083919,,,
2014-02-09,,-83.3548391,-124.3010816,
2014-02-10,,-85.41379799,,-83.63158357
2014-02-11,,-87.48407021,,-84.37886243
2014-02-12,-110.5524969,,-133.9248582,
2014-02-13,-112.9904217,-90.41142354,-135.5605049,-91.46161693
2014-02-14,,,,-92.65868433
2014-02-15,,,,
2014-02-16,-119.0174055,,,-97.13337353
2014-02-17,-117.5921703,,,-95.67607587
2014-02-18,,-92.97077515,,
2014-02-19,-115.0625503,,,-91.70872144
2014-02-20,,,,
2014-02-21,,,-137.5529356,-98.702819
2014-02-22,,-92.823027,,
2014-02-23,,,,
2014-02-24,-117.3391503,-89.74274474,-130.9497863,-99.73094912
2014-02-25,-112.3784809,,-126.5398582,-95.85124614
2014-02-26,-112.9276646,-89.34968164,-123.1328252,
2014-02-27,-113.4185462,-89.39502754,-121.2650394,-95.85295755
2014-02-28,-110.5230747,-89.14744035,-118.7115843,
2014-03-01,-109.4056812,,,-91.322766
2014-03-02,-112.3499865,-91.00126417,-118.6789904,-92.2295891
2014-03-03,,-92.31276552,-120.7520487,
2014-03-04,,-91.66741838,,-96.59204382
2014-03-05,,-91.13866221,-119.4298347,-98.13410346
2014-03-06,-118.5498506,,-117.8118686,
2014-03-07,-115.5073253,-89.69416778,,
2014-03-08,-114.6531209,,,-95.66643665
2014-03-09,-115.9931644,,,
2014-03-10,,,,
2014-03-11,-115.3744508,-88.15286182,,-98.09699005
2014-03-12,,,,
2014-03-13,,,-109.7533418,
2014-03-14,-112.1744987,,,-95.80605383
2014-03-15,-112.3825589,-85.43217616,-112.7754694,
2014-03-16,-111.1900937,,,
2014-03-17,-108.4799063,,,-98.01760198
2014-03-18,-104.6656519,-80.21329587,-103.4270289,
2014-03-19,,,,
2014-03-20,,,,-89.67611159
2014-03-21,-96.84472131,-76.9465271,-94.05971469,-89.76860435
2014-03-22,-97.69488624,,-97.21553057,-89.60708088
2014-03-23,,-77.12426261,-99.68967944,-91.26619484
2014-03-24,,,-96.83748705,-89.16030535
2014-03-25,,-76.05928509,-92.35816133,-88.27757167
2014-03-26,-93.18076619,-74.75249323,,
2014-03-27,,,-81.25002228,-87.10518662
2014-03-28,,-71.19779018,-76.61822803,
2014-03-29,,,,-82.62417968
2014-03-30,,,-65.9646314,
2014-03-31,-81.92919924,-65.14601443,,-79.76447747
2014-04-01,,-65.65669658,-70.56688355,-83.03021717
2014-04-02,-84.87322225,,,
2014-04-03,-83.03192855,-65.10677422,-74.31183679,-83.14658477
2014-04-04,,,-74.41372672,
2014-04-05,-82.33008798,,-75.64094649,
2014-04-06,-81.12759109,,-74.49048276,-83.65497393
2014-04-07,-80.45382464,,,
2014-04-08,-80.95948827,,,
2014-04-09,,-63.04284767,,-83.27398433
2014-04-10,,,,-83.8070963
2014-04-11,,,,-82.1149401
2014-04-12,-74.93485352,-59.87862928,-63.05650218,
2014-04-13,-75.74667817,-61.19021126,,-79.35946065
2014-04-14,-78.79656856,-62.95494274,,-81.25100545
2014-04-15,,-63.6688227,-66.31991638,-83.63295943
2014-04-16,,-63.82607435,-62.87580237,-83.67081842
2014-04-17,,-64.69354709,,
2014-04-18,-81.13042855,-64.97040048,-59.82003304,-84.28052609
2014-04-19,,-64.30033194,-55.25012074,
2014-04-20,,-65.10094527,-55.81563889,-84.43133605
2014-04-21,-81.8691898,,-57.89035821,
2014-04-22,-82.21372021,,-57.3303904,
2014-04-23,,-68.22744761,,-87.09571035
2014-04-24,,,,
2014-04-25,,-67.36329744,,-87.45952439
2014-04-26,,-67.72282058,,-87.58175457
2014-04-27,-85.99720076,,-53.97465983,
2014-04-28,,-67.77190586,,
2014-04-29,-85.91211326,,,
2014-04-30,-85.29355415,,-60.44881833,
2014-05-01,-83.51780624,-64.73970095,,-91.48069041
2014-05-02,-80.19134589,-63.01003433,-62.13247256,
2014-05-03,-78.80418968,,-64.96690174,
2014-05-04,-78.28115781,,-67.72605414,-90.7051052
2014-05-05,-77.18496868,,,-88.45833652
2014-05-06,-78.62081574,,-71.20316062,
2014-05-07,-78.91733308,,,-91.13430625
2014-05-08,,,,-89.80638178
2014-05-09,-73.40433287,,-67.51290105,
2014-05-10,,-58.32416215,,
2014-05-11,-72.72826646,,-57.33899467,-85.14820791
2014-05-12,-76.23854155,,,
2014-05-13,,,-62.31870484,
2014-05-14,,-60.43084995,,-90.11326596
2014-05-15,,-61.18835322,,
2014-05-16,,-60.19695967,,-90.20526408
2014-05-17,-74.7284711,-61.70790355,,-91.88319611
2014-05-18,,,,
2014-05-19,,-58.65435889,,
2014-05-20,-73.13192587,,,
2014-05-21,-73.82437405,,,
2014-05-22,-72.74234412,,,-86.62537984
2014-05-23,,,-40.87729643,
2014-05-24,,-54.9291935,,-86.86424294
2014-05-25,,,-29.86404434,
2014-05-26,-64.63260593,-52.8349584,,-84.23251866
2014-05-27,,,,
2014-05-28,-64.94160544,-53.33558041,-30.46005047,
2014-05-29,,-52.39097542,,-86.00979334
2014-05-30,,-51.13143369,,
2014-05-31,-59.85110527,,-23.28550729,-87.370631
2014-06-01,,-51.8598427,,
2014-06-02,,-51.12563309,,-82.49156605
2014-06-03,,-49.13317172,,-82.50456171
2014-06-04,,-51.5437359,-26.30156066,-83.99734578
2014-06-05,,-52.67203672,,
2014-06-06,,-47.71993302,,-78.53438698
2014-06-07,-54.30106884,,,-78.54616602
2014-06-08,,,-26.4352586,-79.58814485
2014-06-09,-49.82149876,-42.49477004,-24.4032484,-79.6039649
2014-06-10,,-42.95237604,-22.7253361,-80.05697572
2014-06-11,,-44.60207848,-23.09894573,-80.51792065
2014-06-12,,-44.92103599,,-76.24961696
2014-06-13,-44.76378444,-40.52489555,-23.17881071,-74.41508986
2014-06-14,,-40.33939619,-24.8242647,-74.3892593
2014-06-15,-43.21933508,,,-74.28091081
2014-06-16,,,,-74.88770701
2014-06-17,-40.40796866,,-25.0400347,-74.13532813
2014-06-18,,-40.92862097,-27.23610562,
2014-06-19,,,,-71.03353358
2014-06-20,-39.04848181,,-19.99474215,-67.80301986
2014-06-21,,-33.69946601,,
2014-06-22,,,-15.99611556,-66.91295559
2014-06-23,,,-17.26023515,-65.91280926
2014-06-24,-39.93981669,-32.44635124,-15.76143484,-69.18403882
2014-06-25,-40.79895154,-34.13865263,,
2014-06-26,,,-20.8745803,-71.23649749
2014-06-27,,,,
2014-06-28,-44.09634788,-36.14790492,,
2014-06-29,,-37.5224634,-11.66061215,
2014-06-30,-40.69881746,-38.82661441,,-76.0974432
2014-07-01,,,,
2014-07-02,-40.45086159,,-11.21852178,
2014-07-03,-42.63302498,,-9.798925269,-74.08028131
2014-07-04,,,-4.190380744,
2014-07-05,-40.57835905,-42.50175805,-5.828404898,-73.654163
2014-07-06,,,-7.638756838,
2014-07-07,-47.91503455,-47.32481808,-12.76120183,
2014-07-08,,,-4.430577077,
2014-07-09,,-48.04381335,,-73.4696426
2014-07-10,-41.08807737,-38.80266274,,
2014-07-11,-39.20361045,,4.054185205,
2014-07-12,-39.69486602,-45.00565651,,-77.53541906
2014-07-13,,-39.52778277,,-74.78398328
2014-07-14,,-34.8173516,,
2014-07-15,,,-7.319048765,-79.96453811
2014-07-16,-42.59051177,,-7.783579214,
2014-07-17,-40.61064536,-38.77033024,,-78.39396251
2014-07-18,,-42.13583943,,-79.42244116
2014-07-19,-51.73913643,,,
2014-07-20,-49.76938622,,-6.252131011,-79.74618518
2014-07-21,-35.76129775,-45.41007497,,
2014-07-22,-41.57469736,-38.27892012,,
2014-07-23,-51.0045846,,,
2014-07-24,,,25.37529195,
2014-07-25,-36.45571747,-31.81926311,,-75.73892679
2014-07-26,,,-6.192716958,-71.77891433
2014-07-27,-29.17457773,,-7.94816636,-78.93716675
2014-07-28,,-35.79966182,-17.58519095,
2014-07-29,,-17.95879004,,
2014-07-30,-24.27417694,,-1.890220136,-81.85663048
2014-07-31,-23.11116329,,-10.52018414,-72.60328961
2014-08-01,,,,
2014-08-02,,-28.50632248,,
2014-08-03,,,-9.152455464,-68.36723091
2014-08-04,,-29.41569314,-5.273582961,-69.46890214
2014-08-05,,-31.20138614,-3.372929675,
2014-08-06,,,,-68.30752533
2014-08-07,-5.105137027,-34.13990023,,
2014-08-08,,,-14.25829327,
2014-08-09,,-39.3851543,-24.59048851,
2014-08-10,-15.18876908,-40.35053749,,
2014-08-11,-21.56451017,-39.23614599,-35.18440596,
2014-08-12,-25.96784575,-35.33884276,,
2014-08-13,-29.84142604,-30.85614032,,-56.83221634
2014-08-14,,,,
2014-08-15,,-33.49250362,,-68.00888845
2014-08-16,-30.93654522,-34.32366716,,
2014-08-17,,,,-70.14227257
2014-08-18,,-36.78754294,,-69.78440829
2014-08-19,,-36.66706641,-27.51386955,-69.21532627
2014-08-20,-29.49588311,,-29.51738572,
2014-08-21,-32.22253719,,-33.48593912,
2014-08-22,-30.88103129,,,-71.5294929
2014-08-23,,,,
2014-08-24,-32.72330042,,-32.23351307,
2014-08-25,,-29.51532745,-24.04475054,
2014-08-26,-31.36037651,,,
2014-08-27,-28.5705932,-28.58432212,,
2014-08-28,-31.52428522,-31.12758467,-16.4781203,-69.46546828
2014-08-29,-31.05044563,-32.44259128,,-72.01527868
2014-08-30,-32.14907087,-32.95637492,,-70.72285039
2014-08-31,-32.96356896,,-10.96007278,-71.48266961
2014-09-01,-28.3548308,-35.97048048,-13.86938728,
2014-09-02,-33.47087241,,-18.9746596,-72.46870469
2014-09-03,-35.78812713,,,-71.36329377
2014-09-04,-37.71355155,-35.09754424,,
2014-09-05,,-36.82654357,,-76.81826322
2014-09-06,,,,-76.68043677
2014-09-07,,,-31.18554731,
2014-09-08,,,-24.05371655,-72.87003295
2014-09-09,,,,-73.94468558
2014-09-10,,-30.60994903,-12.95937537,-72.1789613
2014-09-11,,,,
2014-09-12,-27.08640342,,-5.294783732,
2014-09-13,-26.78710891,-33.85251271,,
2014-09-14,,,-25.68235842,
2014-09-15,,,,
2014-09-16,,-40.19637877,-29.07308128,
2014-09-17,-34.02252856,,,
2014-09-18,,-41.75250387,,
2014-09-19,,,,-71.09305685
2014-09-20,-42.83216064,-41.80301989,-42.19663629,-74.0338701
2014-09-21,-44.52523525,-47.06893212,-49.04742994,-80.38035542
2014-09-22,-45.8643356,-39.02039897,-42.03880535,
2014-09-23,-45.656371,-43.56894042,-50.68406136,
2014-09-24,-48.49413568,,,-82.14822138
2014-09-25,,,,
2014-09-26,,-38.1630773,-45.52317519,-89.02757551
2014-09-27,,,-45.76404614,
2014-09-28,,,-36.23142153,
2014-09-29,-35.21580354,-30.92666413,,
2014-09-30,-32.71263938,,,-84.31789159
2014-10-01,,,-37.8830397,
2014-10-02,-29.7675949,-39.48143595,-41.17417548,
2014-10-03,,,,-89.16722041
2014-10-04,,,-54.16324041,
2014-10-05,,-48.43696897,,
2014-10-06,,-48.48568658,,
2014-10-07,,,,
2014-10-08,,,-76.63377007,
2014-10-09,,,,
2014-10-10,,,-80.51797617,-85.65553057
2014-10-11,,,,-84.48170475
2014-10-12,-35.11448089,,-79.01546893,
2014-10-13,,,,
2014-10-14,-35.55548102,-47.86169909,,-81.53283209
2014-10-15,-37.96819455,-48.79381941,,
2014-10-16,,-48.83786513,,-83.93504639
2014-10-17,,-48.53914314,,
2014-10-18,,,-88.56153083,
2014-10-19,-37.89678168,,-86.51446524,-81.97543694
2014-10-20,,-46.73093302,,-81.55335544
2014-10-21,-35.74130434,,-79.17863185,
2014-10-22,,,,-76.70230643
2014-10-23,-37.09166874,-46.66780275,,
2014-10-24,,-46.95556026,-81.63478588,-77.73981295
2014-10-25,,,,
2014-10-26,-38.34719568,,-80.61427221,
2014-10-27,-36.2204653,,-76.93783072,-78.26723558
2014-10-28,,-43.90511908,-74.20181144,-73.2860059
2014-10-29,,,,-67.51160939
2014-10-30,,-47.63188695,-73.85289572,
2014-10-31,-41.46195162,-51.01281296,-76.51689585,-72.35685549
2014-11-01,-49.45125552,-55.19670977,-81.25435435,-79.75852505
2014-11-02,-53.97677292,-58.03626714,,
2014-11-03,,-60.46024816,-95.36887114,
2014-11-04,,-63.06947186,-103.7281856,-92.58152093
2014-11-05,-67.50476417,-64.00549384,-108.1302304,-97.28992786
2014-11-06,-66.21208826,-64.69885043,-108.0613933,
2014-11-07,-68.53176994,,,-98.11411554
2014-11-08,-65.72045514,-65.4854155,,-94.65402366
2014-11-09,-69.56685825,-66.11849063,,
2014-11-10,-71.54195397,,-109.779409,
2014-11-11,-73.97563502,,-110.2863128,
2014-11-12,-75.07611977,,,
2014-11-13,-77.47522872,,,-105.0887093
2014-11-14,,,-117.3484355,
2014-11-15,-78.67105673,,,
2014-11-16,-74.82878287,-69.07630253,-119.0917144,
2014-11-17,,-69.79807259,-120.2291804,
2014-11-18,-76.55582744,,-121.489862,-101.9110185
2014-11-19,,-70.001996,-123.3341045,
2014-11-20,-78.4698001,-69.48962479,,
2014-11-21,-79.04873925,-68.36860405,-121.5971532,
2014-11-22,,-67.22898231,-119.063732,
2014-11-23,,-64.93962564,-114.9469053,-102.5700482
2014-11-24,,,-109.6468953,-92.95666197
2014-11-25,,-65.10467652,,-91.03512786
2014-11-26,,,,
2014-11-27,,,-107.7891248,-96.85758443
2014-11-28,-74.99838238,,-105.9408102,
2014-11-29,-78.86223786,-69.29680495,-107.8894452,
2014-11-30,-77.45307693,,,
2014-12-01,,-73.32565001,,
2014-12-02,-81.34976502,-76.21301137,,-96.62257152
2014-12-03,-91.90585455,,,-106.8568794
2014-12-04,-90.1874583,,-127.271706,-105.6482376
2014-12-05,-94.34633871,-83.65716767,-133.07125,
2014-12-06,,,-136.0121901,-112.547873
2014-12-07,,-86.38883766,,-116.9424607
2014-12-08,-100.5449056,,-140.9134965,
2014-12-09,,,,
2014-12-10,,,,
2014-12-11,,-88.46119921,,-110.9740692
2014-12-12,,,,-112.2106115
2014-12-13,,-90.3368257,-148.4304549,
2014-12-14,-106.3506027,,-149.4643648,-118.482877
2014-12-15,,-90.05793423,-150.36378,-121.3732332
2014-12-16,-104.8074517,-90.88572612,-150.7031125,
2014-12-17,-106.1075074,,-152.4211427,
2014-12-18,-108.0022279,-90.28399395,,
2014-12-19,-109.6458785,,-154.5663399,-119.2762237
2014-12-20,,,-153.6219307,-119.9428549
2014-12-21,,-91.24734491,,-121.3214403
2014-12-22,-107.4436897,,-153.3363198,
2014-12-23,,,-155.0913172,
2014-12-24,-110.9126588,,-156.9214383,
