Datetime,Strain1,Strain2,Strain3,Strain4
2013-09-11,-0.841528311,,,0.601181861
2013-09-12,-2.595769891,-0.694608818,0.322315847,
2013-09-13,,-1.259638988,,-1.282257222
2013-09-14,-4.440894569,,,-1.987286829
2013-09-15,-3.994077626,-0.188754121,,-2.081381956
2013-09-16,,0.813551126,,
2013-09-17,-3.246889916,1.476562868,,
2013-09-18,,1.803248892,,
2013-09-19,-0.539806027,,-3.63025319,-2.573063158
2013-09-20,,2.261695955,,-1.221816073
2013-09-21,,2.830216241,-5.131485805,-1.979911626
2013-09-22,,,-6.001259856,-1.260428574
2013-09-23,1.210342065,3.828817127,,-2.401299025
2013-09-24,,4.516955147,7.534653603,-0.752373985
2013-09-25,-0.777710215,,-1.500834806,0.583524814
2013-09-26,,-4.223823987,-13.03128371,
2013-09-27,,-8.036542426,-24.47636191,
2013-09-28,-17.34484255,-12.54266706,,-14.03673794
2013-09-29,,,-37.30296197,-20.80542354
2013-09-30,-26.87870891,-17.69075432,,-24.44939306
2013-10-01,-27.37564129,,-42.03190999,-26.02263063
2013-10-02,-28.44693336,-18.54659566,-40.90263763,-25.54200969
2013-10-03,-28.05835175,,-41.28743941,
2013-10-04,-27.87941812,,-48.29831992,-28.87767628
2013-10-05,-28.56653954,-18.37435729,-51.42058042,-29.74301018
2013-10-06,,-18.30893925,-51.73624307,-30.32479776
2013-10-07,,-17.19721389,-51.10473907,
2013-10-08,-25.14409904,,,
2013-10-09,-25.56903979,,-45.25017002,-27.13831263
2013-10-10,-24.72208283,-14.34711217,,
2013-10-11,,,-40.4952147,-24.73243357
2013-10-12,,-11.82551798,-37.01395716,-23.2293858
2013-10-13,-20.92583364,,,-23.26969302
2013-10-14,-19.05274978,,,-22.89019938
2013-10-15,-15.70203853,-7.183357017,-37.92499562,-19.42992617
2013-10-16,-15.06845348,-7.816525135,,-16.90739183
2013-10-17,-17.57253969,,,-17.26402423
2013-10-18,,-11.00902206,-51.38833966,-19.94728434
2013-10-19,-23.16070642,-12.24908145,-54.373412,-22.08320496
2013-10-20,-24.14022642,-12.4893291,-55.4738011,
2013-10-21,,-12.15504444,-54.57677959,-23.06135106
2013-10-22,-24.22729302,-12.63026904,,
2013-10-23,-25.42908835,-13.00021866,,
2013-10-24,,,,
2013-10-25,-25.33455849,-12.68720615,-59.85023024,-25.39165586
2013-10-26,,-14.36991173,-62.96753854,-25.06890548
2013-10-27,,-15.37162992,,-27.26605258
2013-10-28,,,-68.06631732,
2013-10-29,-31.18014975,-17.22558817,-67.63324853,-30.14857366
2013-10-30,,-17.29742968,,-29.41018514
2013-10-31,-29.65371022,,,
2013-11-01,-30.72131291,-18.11384169,,
2013-11-02,-31.06317674,-19.41614103,-60.80496932,-26.61551162
2013-11-03,-31.33230036,,-60.15292339,-26.88495352
2013-11-04,-36.08144555,-22.58277348,-61.91428984,-30.86503266
2013-11-05,-38.57765276,,-63.81057496,-32.65806862
2013-11-06,-40.04240327,-23.47588427,-65.64099508,-33.55830374
2013-11-07,-40.55693431,-23.9911633,-66.51524965,-35.53220324
2013-11-08,-41.07974455,,-66.6117377,-35.6360841
2013-11-09,-41.4531205,-23.68253113,-64.45620016,
2013-11-10,-39.82914345,-22.92011809,-60.59342985,-34.91706471
2013-11-11,-37.41798936,-23.3427389,-61.39102982,-31.85610823
2013-11-12,-35.04406021,-24.91656423,,-27.12507912
2013-11-13,-38.22614621,-27.95647138,-65.19944497,-28.68374771
2013-11-14,-45.24312737,-30.1761948,-69.23231365,
2013-11-15,,-32.76881,-72.68871899,
2013-11-16,,-34.91734035,-75.59335673,-44.74196357
2013-11-17,-54.94544202,-36.60267479,-78.57953615,-46.15736046
2013-11-18,-58.73024867,-37.49419085,-83.28571263,-48.66295472
2013-11-19,,,,
2013-11-20,-61.46974787,-38.99737689,,
2013-11-21,-62.11420126,-39.8072713,-90.14406423,-53.48424702
2013-11-22,-59.61445078,-39.00363567,-88.40664386,-52.46140415
2013-11-23,-58.77879889,-38.37923456,-87.55069051,-51.21701292
2013-11-24,,-37.88708633,,-48.93481018
2013-11-25,-59.23567998,-38.99937718,,-49.20288352
2013-11-26,-59.87005567,-39.55450064,-85.32481112,-47.98776543
2013-11-27,-62.52381477,-40.9929811,,
2013-11-28,,-42.58587067,,-49.13144356
